training on [gpu(0)]
epoch 1, loss 0.6569, train acc 0.526, test acc 0.750, time 37.3 sec
epoch 2, loss 0.5952, train acc 0.788, test acc 0.811, time 13.6 sec
epoch 3, loss 0.5456, train acc 0.817, test acc 0.800, time 13.6 sec
epoch 4, loss 0.4917, train acc 0.818, test acc 0.819, time 13.6 sec
epoch 5, loss 0.4403, train acc 0.824, test acc 0.823, time 13.7 sec
epoch 6, loss 0.4021, train acc 0.831, test acc 0.834, time 13.7 sec
epoch 7, loss 0.3741, train acc 0.842, test acc 0.838, time 13.8 sec
epoch 8, loss 0.3650, train acc 0.848, test acc 0.848, time 13.8 sec
epoch 9, loss 0.3540, train acc 0.848, test acc 0.866, time 13.7 sec
epoch 10, loss 0.3481, train acc 0.852, test acc 0.867, time 13.9 sec
epoch 11, loss 0.3513, train acc 0.852, test acc 0.844, time 13.8 sec
epoch 12, loss 0.3205, train acc 0.866, test acc 0.861, time 13.8 sec
epoch 13, loss 0.3325, train acc 0.859, test acc 0.878, time 13.8 sec
epoch 14, loss 0.2989, train acc 0.874, test acc 0.883, time 13.8 sec
epoch 15, loss 0.3095, train acc 0.869, test acc 0.788, time 13.8 sec
epoch 16, loss 0.3121, train acc 0.869, test acc 0.618, time 13.8 sec
epoch 17, loss 0.3659, train acc 0.862, test acc 0.855, time 13.8 sec
epoch 18, loss 0.2854, train acc 0.881, test acc 0.880, time 13.9 sec
epoch 19, loss 0.2905, train acc 0.877, test acc 0.888, time 13.7 sec
epoch 20, loss 0.2851, train acc 0.879, test acc 0.873, time 13.8 sec
epoch 21, loss 0.2878, train acc 0.877, test acc 0.865, time 13.8 sec
epoch 22, loss 0.2837, train acc 0.879, test acc 0.859, time 13.9 sec
epoch 23, loss 0.2744, train acc 0.884, test acc 0.885, time 13.8 sec
epoch 24, loss 0.2683, train acc 0.886, test acc 0.890, time 13.8 sec
epoch 25, loss 0.2789, train acc 0.880, test acc 0.879, time 13.8 sec
epoch 26, loss 0.2623, train acc 0.889, test acc 0.881, time 13.8 sec
epoch 27, loss 0.2782, train acc 0.882, test acc 0.888, time 13.8 sec
epoch 28, loss 0.2686, train acc 0.885, test acc 0.852, time 13.7 sec
epoch 29, loss 0.2663, train acc 0.888, test acc 0.743, time 13.7 sec
epoch 30, loss 0.2742, train acc 0.887, test acc 0.895, time 13.8 sec
epoch 31, loss 0.2597, train acc 0.890, test acc 0.889, time 13.8 sec
epoch 32, loss 0.2565, train acc 0.891, test acc 0.895, time 13.8 sec
epoch 33, loss 0.2535, train acc 0.892, test acc 0.890, time 13.7 sec
epoch 34, loss 0.2556, train acc 0.892, test acc 0.843, time 13.8 sec
epoch 35, loss 0.2539, train acc 0.893, test acc 0.583, time 13.8 sec
epoch 36, loss 0.3413, train acc 0.881, test acc 0.896, time 13.8 sec
epoch 37, loss 0.2504, train acc 0.894, test acc 0.898, time 13.8 sec
epoch 38, loss 0.2423, train acc 0.898, test acc 0.898, time 13.8 sec
epoch 39, loss 0.2406, train acc 0.898, test acc 0.895, time 13.8 sec
epoch 40, loss 0.2458, train acc 0.894, test acc 0.899, time 13.8 sec
epoch 41, loss 0.2376, train acc 0.898, test acc 0.877, time 13.8 sec
epoch 42, loss 0.2442, train acc 0.896, test acc 0.873, time 13.8 sec
epoch 43, loss 0.2430, train acc 0.896, test acc 0.846, time 13.8 sec
epoch 44, loss 0.2405, train acc 0.900, test acc 0.895, time 13.8 sec
epoch 45, loss 0.2323, train acc 0.901, test acc 0.902, time 13.8 sec
epoch 46, loss 0.2464, train acc 0.895, test acc 0.903, time 13.8 sec
epoch 47, loss 0.2359, train acc 0.900, test acc 0.899, time 13.7 sec
epoch 48, loss 0.2306, train acc 0.902, test acc 0.904, time 13.9 sec
epoch 49, loss 0.2384, train acc 0.899, test acc 0.897, time 13.8 sec
epoch 50, loss 0.2360, train acc 0.900, test acc 0.904, time 13.7 sec
epoch 51, loss 0.2313, train acc 0.900, test acc 0.894, time 13.8 sec
epoch 52, loss 0.2317, train acc 0.901, test acc 0.867, time 13.8 sec
epoch 53, loss 0.2286, train acc 0.903, test acc 0.893, time 13.8 sec
epoch 54, loss 0.2276, train acc 0.903, test acc 0.906, time 13.8 sec
epoch 55, loss 0.2186, train acc 0.908, test acc 0.907, time 13.9 sec
epoch 56, loss 0.2339, train acc 0.901, test acc 0.908, time 13.8 sec
epoch 57, loss 0.2275, train acc 0.904, test acc 0.893, time 13.8 sec
epoch 58, loss 0.2303, train acc 0.899, test acc 0.899, time 13.8 sec
epoch 59, loss 0.2335, train acc 0.899, test acc 0.904, time 13.7 sec
epoch 60, loss 0.2213, train acc 0.906, test acc 0.885, time 13.8 sec
epoch 61, loss 0.2215, train acc 0.906, test acc 0.901, time 13.8 sec
epoch 62, loss 0.2325, train acc 0.901, test acc 0.909, time 13.8 sec
epoch 63, loss 0.2176, train acc 0.908, test acc 0.896, time 13.8 sec
epoch 64, loss 0.2307, train acc 0.900, test acc 0.906, time 13.8 sec
epoch 65, loss 0.2187, train acc 0.906, test acc 0.911, time 13.7 sec
epoch 66, loss 0.2080, train acc 0.913, test acc 0.910, time 13.8 sec
epoch 67, loss 0.2195, train acc 0.906, test acc 0.913, time 13.8 sec
epoch 68, loss 0.2167, train acc 0.908, test acc 0.912, time 13.8 sec
epoch 69, loss 0.2188, train acc 0.907, test acc 0.893, time 13.9 sec
epoch 70, loss 0.2151, train acc 0.909, test acc 0.781, time 13.8 sec
epoch 71, loss 0.2316, train acc 0.904, test acc 0.905, time 13.8 sec
epoch 72, loss 0.2081, train acc 0.912, test acc 0.916, time 13.8 sec
epoch 73, loss 0.2150, train acc 0.909, test acc 0.844, time 13.8 sec
epoch 74, loss 0.2184, train acc 0.909, test acc 0.915, time 13.8 sec
epoch 75, loss 0.2057, train acc 0.914, test acc 0.916, time 13.8 sec
epoch 76, loss 0.2200, train acc 0.907, test acc 0.846, time 13.8 sec
epoch 77, loss 0.2051, train acc 0.914, test acc 0.915, time 13.8 sec
epoch 78, loss 0.2044, train acc 0.914, test acc 0.902, time 13.9 sec
epoch 79, loss 0.2050, train acc 0.914, test acc 0.919, time 13.8 sec
epoch 80, loss 0.2185, train acc 0.908, test acc 0.894, time 13.7 sec
epoch 81, loss 0.2013, train acc 0.916, test acc 0.920, time 13.8 sec
epoch 82, loss 0.2059, train acc 0.914, test acc 0.910, time 13.7 sec
epoch 83, loss 0.2143, train acc 0.910, test acc 0.920, time 13.8 sec
epoch 84, loss 0.1915, train acc 0.921, test acc 0.845, time 13.8 sec
epoch 85, loss 0.2079, train acc 0.914, test acc 0.923, time 13.8 sec
epoch 86, loss 0.2057, train acc 0.915, test acc 0.923, time 13.8 sec
epoch 87, loss 0.1972, train acc 0.918, test acc 0.901, time 13.8 sec
epoch 88, loss 0.1990, train acc 0.917, test acc 0.923, time 13.9 sec
epoch 89, loss 0.1906, train acc 0.921, test acc 0.741, time 13.8 sec
epoch 90, loss 0.2322, train acc 0.910, test acc 0.921, time 13.7 sec
epoch 91, loss 0.1867, train acc 0.923, test acc 0.920, time 13.8 sec
epoch 92, loss 0.2017, train acc 0.915, test acc 0.917, time 13.8 sec
epoch 93, loss 0.1901, train acc 0.922, test acc 0.911, time 13.8 sec
epoch 94, loss 0.1905, train acc 0.921, test acc 0.923, time 13.8 sec
epoch 95, loss 0.1873, train acc 0.923, test acc 0.928, time 13.8 sec
epoch 96, loss 0.2129, train acc 0.911, test acc 0.842, time 13.8 sec
epoch 97, loss 0.1882, train acc 0.923, test acc 0.927, time 13.9 sec
epoch 98, loss 0.1953, train acc 0.920, test acc 0.927, time 13.8 sec
epoch 99, loss 0.1763, train acc 0.928, test acc 0.923, time 13.8 sec
epoch 100, loss 0.1970, train acc 0.918, test acc 0.926, time 14.1 sec
epoch 101, loss 0.1812, train acc 0.926, test acc 0.922, time 13.9 sec
epoch 102, loss 0.1938, train acc 0.919, test acc 0.912, time 13.8 sec
epoch 103, loss 0.1872, train acc 0.923, test acc 0.930, time 13.9 sec
epoch 104, loss 0.1770, train acc 0.928, test acc 0.931, time 13.8 sec
