training on [gpu(0)]
epoch 82, loss 0.1385, train acc 0.949, test acc 0.950, time 33.4 sec
epoch 83, loss 0.1423, train acc 0.948, test acc 0.952, time 33.7 sec
epoch 84, loss 0.1355, train acc 0.951, test acc 0.945, time 33.4 sec
epoch 85, loss 0.1375, train acc 0.950, test acc 0.949, time 33.3 sec
epoch 86, loss 0.1412, train acc 0.949, test acc 0.953, time 33.5 sec
epoch 87, loss 0.1362, train acc 0.950, test acc 0.953, time 33.6 sec
epoch 88, loss 0.1349, train acc 0.951, test acc 0.952, time 33.4 sec
epoch 89, loss 0.1423, train acc 0.948, test acc 0.953, time 33.5 sec
epoch 90, loss 0.1319, train acc 0.952, test acc 0.955, time 33.6 sec
epoch 91, loss 0.1328, train acc 0.952, test acc 0.946, time 33.4 sec
epoch 92, loss 0.1364, train acc 0.950, test acc 0.953, time 33.4 sec
epoch 93, loss 0.1277, train acc 0.954, test acc 0.955, time 33.2 sec
epoch 94, loss 0.1275, train acc 0.954, test acc 0.953, time 33.4 sec
epoch 95, loss 0.1306, train acc 0.952, test acc 0.954, time 33.2 sec
epoch 96, loss 0.1401, train acc 0.948, test acc 0.955, time 33.5 sec
epoch 97, loss 0.1301, train acc 0.953, test acc 0.956, time 33.7 sec
epoch 98, loss 0.1331, train acc 0.952, test acc 0.955, time 33.2 sec
epoch 99, loss 0.1284, train acc 0.954, test acc 0.956, time 33.6 sec
epoch 100, loss 0.1238, train acc 0.955, test acc 0.956, time 33.9 sec
epoch 101, loss 0.1257, train acc 0.954, test acc 0.957, time 33.7 sec
epoch 102, loss 0.2308, train acc 0.917, test acc 0.936, time 33.2 sec
epoch 103, loss 0.1448, train acc 0.947, test acc 0.952, time 33.4 sec
epoch 104, loss 0.1300, train acc 0.953, test acc 0.955, time 33.9 sec
epoch 105, loss 0.1242, train acc 0.955, test acc 0.956, time 33.2 sec
epoch 106, loss 0.1237, train acc 0.955, test acc 0.956, time 33.4 sec
epoch 107, loss 0.1226, train acc 0.956, test acc 0.956, time 33.4 sec
epoch 108, loss 0.1256, train acc 0.955, test acc 0.956, time 33.3 sec
epoch 109, loss 0.1200, train acc 0.957, test acc 0.957, time 33.5 sec
epoch 110, loss 0.1206, train acc 0.956, test acc 0.957, time 33.3 sec
epoch 111, loss 0.1180, train acc 0.958, test acc 0.956, time 33.6 sec
epoch 112, loss 0.1270, train acc 0.954, test acc 0.958, time 33.5 sec
epoch 113, loss 0.1181, train acc 0.958, test acc 0.959, time 33.2 sec
epoch 114, loss 0.1233, train acc 0.956, test acc 0.959, time 33.6 sec
epoch 115, loss 0.1161, train acc 0.959, test acc 0.955, time 33.4 sec
epoch 116, loss 0.1161, train acc 0.958, test acc 0.960, time 33.2 sec
epoch 117, loss 0.1241, train acc 0.955, test acc 0.959, time 33.9 sec
epoch 118, loss 0.1211, train acc 0.956, test acc 0.960, time 34.1 sec
epoch 119, loss 0.1168, train acc 0.958, test acc 0.959, time 33.5 sec
epoch 120, loss 0.1197, train acc 0.957, test acc 0.956, time 33.5 sec
epoch 121, loss 0.1140, train acc 0.959, test acc 0.958, time 33.1 sec
epoch 122, loss 0.1159, train acc 0.958, test acc 0.959, time 33.5 sec
epoch 123, loss 0.1145, train acc 0.959, test acc 0.960, time 33.0 sec
epoch 124, loss 0.1109, train acc 0.960, test acc 0.960, time 33.5 sec
epoch 125, loss 0.1162, train acc 0.958, test acc 0.961, time 33.4 sec
epoch 126, loss 0.1159, train acc 0.959, test acc 0.948, time 33.3 sec
epoch 127, loss 0.1112, train acc 0.960, test acc 0.953, time 33.5 sec
epoch 128, loss 0.1138, train acc 0.959, test acc 0.962, time 33.5 sec
epoch 129, loss 0.1114, train acc 0.960, test acc 0.962, time 33.9 sec
epoch 130, loss 0.1123, train acc 0.960, test acc 0.960, time 33.5 sec
epoch 131, loss 0.1133, train acc 0.959, test acc 0.961, time 33.5 sec
epoch 132, loss 0.1101, train acc 0.961, test acc 0.962, time 33.5 sec
epoch 133, loss 0.1092, train acc 0.961, test acc 0.963, time 33.3 sec
epoch 134, loss 0.1083, train acc 0.962, test acc 0.945, time 33.7 sec
epoch 135, loss 0.1095, train acc 0.961, test acc 0.962, time 33.2 sec
epoch 136, loss 0.1105, train acc 0.960, test acc 0.963, time 33.6 sec
epoch 137, loss 0.1074, train acc 0.962, test acc 0.963, time 33.4 sec
epoch 138, loss 0.1386, train acc 0.949, test acc 0.956, time 33.3 sec
epoch 139, loss 0.1100, train acc 0.961, test acc 0.962, time 33.4 sec
epoch 140, loss 0.1071, train acc 0.962, test acc 0.962, time 33.3 sec
epoch 141, loss 0.1089, train acc 0.961, test acc 0.962, time 33.7 sec
epoch 142, loss 0.1062, train acc 0.962, test acc 0.963, time 33.2 sec
epoch 143, loss 0.1039, train acc 0.963, test acc 0.962, time 33.3 sec
epoch 144, loss 0.1090, train acc 0.961, test acc 0.955, time 33.5 sec
epoch 145, loss 0.1064, train acc 0.962, test acc 0.964, time 33.5 sec
epoch 146, loss 0.1103, train acc 0.960, test acc 0.960, time 33.3 sec
epoch 147, loss 0.1053, train acc 0.962, test acc 0.964, time 33.4 sec
epoch 148, loss 0.1046, train acc 0.963, test acc 0.964, time 33.3 sec
epoch 149, loss 0.1047, train acc 0.963, test acc 0.957, time 33.4 sec
epoch 150, loss 0.1053, train acc 0.963, test acc 0.963, time 33.5 sec
epoch 151, loss 0.1044, train acc 0.963, test acc 0.959, time 33.7 sec
epoch 152, loss 0.1034, train acc 0.963, test acc 0.962, time 33.8 sec
epoch 153, loss 0.1272, train acc 0.954, test acc 0.963, time 33.4 sec
epoch 154, loss 0.1045, train acc 0.963, test acc 0.964, time 33.2 sec
epoch 155, loss 0.1028, train acc 0.963, test acc 0.962, time 33.4 sec
epoch 156, loss 0.1026, train acc 0.964, test acc 0.965, time 33.2 sec
epoch 157, loss 0.1025, train acc 0.964, test acc 0.963, time 33.2 sec
epoch 158, loss 0.1038, train acc 0.963, test acc 0.949, time 33.1 sec
epoch 159, loss 0.1167, train acc 0.958, test acc 0.965, time 33.4 sec
epoch 160, loss 0.1020, train acc 0.964, test acc 0.965, time 33.2 sec
epoch 161, loss 0.1007, train acc 0.964, test acc 0.965, time 33.4 sec
epoch 162, loss 0.1031, train acc 0.963, test acc 0.964, time 33.3 sec
epoch 163, loss 0.1018, train acc 0.964, test acc 0.964, time 33.5 sec
epoch 164, loss 0.1018, train acc 0.964, test acc 0.963, time 33.2 sec
epoch 165, loss 0.1011, train acc 0.964, test acc 0.965, time 33.5 sec
epoch 166, loss 0.1049, train acc 0.963, test acc 0.965, time 33.6 sec
epoch 167, loss 0.1024, train acc 0.964, test acc 0.965, time 33.7 sec
epoch 168, loss 0.1082, train acc 0.961, test acc 0.965, time 33.2 sec
epoch 169, loss 0.1005, train acc 0.964, test acc 0.966, time 33.5 sec
epoch 170, loss 0.1008, train acc 0.964, test acc 0.965, time 33.5 sec
epoch 171, loss 0.1020, train acc 0.964, test acc 0.964, time 33.6 sec
epoch 172, loss 0.0993, train acc 0.965, test acc 0.966, time 33.6 sec
epoch 173, loss 0.0997, train acc 0.965, test acc 0.965, time 33.6 sec
epoch 174, loss 0.0996, train acc 0.965, test acc 0.966, time 33.3 sec
epoch 175, loss 0.0985, train acc 0.965, test acc 0.965, time 33.4 sec
epoch 176, loss 0.1799, train acc 0.937, test acc 0.956, time 33.4 sec
epoch 177, loss 0.1121, train acc 0.960, test acc 0.964, time 33.4 sec
epoch 178, loss 0.1058, train acc 0.963, test acc 0.962, time 33.3 sec
