training on [gpu(0)]
epoch 1, loss 0.3166, train acc 0.873, test acc 0.962, time 827.1 sec
epoch 2, loss 0.1272, train acc 0.956, test acc 0.967, time 835.4 sec
epoch 3, loss 0.0942, train acc 0.967, test acc 0.971, time 828.1 sec
epoch 4, loss 0.0682, train acc 0.974, test acc 0.977, time 829.6 sec
epoch 5, loss 0.0551, train acc 0.980, test acc 0.963, time 824.7 sec
epoch 6, loss 0.0493, train acc 0.983, test acc 0.984, time 833.2 sec
epoch 7, loss 0.0451, train acc 0.985, test acc 0.982, time 827.8 sec
epoch 8, loss 0.0434, train acc 0.985, test acc 0.986, time 834.2 sec
epoch 9, loss 0.0582, train acc 0.982, test acc 0.983, time 835.7 sec
epoch 10, loss 0.0438, train acc 0.985, test acc 0.986, time 835.8 sec
epoch 11, loss 0.0403, train acc 0.986, test acc 0.987, time 815.8 sec
epoch 12, loss 0.0387, train acc 0.987, test acc 0.985, time 811.2 sec
epoch 13, loss 0.0381, train acc 0.987, test acc 0.987, time 811.8 sec
epoch 14, loss 0.0578, train acc 0.982, test acc 0.969, time 811.0 sec
epoch 15, loss 0.0690, train acc 0.977, test acc 0.986, time 808.7 sec
epoch 16, loss 0.0568, train acc 0.983, test acc 0.979, time 811.2 sec
epoch 17, loss 0.0451, train acc 0.984, test acc 0.982, time 813.4 sec
epoch 18, loss 0.0396, train acc 0.987, test acc 0.987, time 811.3 sec
epoch 19, loss 0.0389, train acc 0.987, test acc 0.987, time 810.6 sec
epoch 20, loss 0.0371, train acc 0.988, test acc 0.987, time 809.3 sec
epoch 21, loss 0.0383, train acc 0.987, test acc 0.986, time 812.2 sec
epoch 22, loss 0.0356, train acc 0.988, test acc 0.988, time 812.4 sec
epoch 23, loss 0.0355, train acc 0.988, test acc 0.988, time 811.2 sec
epoch 24, loss 0.0348, train acc 0.988, test acc 0.988, time 816.3 sec
epoch 25, loss 0.0500, train acc 0.984, test acc 0.987, time 817.5 sec
epoch 26, loss 0.0375, train acc 0.987, test acc 0.988, time 813.8 sec
epoch 27, loss 0.0406, train acc 0.987, test acc 0.986, time 813.3 sec
epoch 28, loss 0.0500, train acc 0.985, test acc 0.983, time 811.0 sec
epoch 29, loss 0.0411, train acc 0.986, test acc 0.987, time 814.9 sec
epoch 30, loss 0.0380, train acc 0.987, test acc 0.987, time 811.7 sec
epoch 31, loss 0.0366, train acc 0.987, test acc 0.988, time 813.2 sec
epoch 32, loss 0.0343, train acc 0.989, test acc 0.989, time 812.2 sec
epoch 33, loss 0.0334, train acc 0.989, test acc 0.989, time 813.7 sec
epoch 34, loss 0.0327, train acc 0.989, test acc 0.989, time 812.1 sec
epoch 35, loss 0.0325, train acc 0.989, test acc 0.989, time 811.1 sec
epoch 36, loss 0.0321, train acc 0.989, test acc 0.990, time 810.8 sec
