training on [gpu(0)]
epoch 1, loss 0.7333, train acc 0.717, test acc 0.774, time 508.7 sec
epoch 2, loss 0.5853, train acc 0.773, test acc 0.774, time 491.8 sec
epoch 3, loss 0.5261, train acc 0.774, test acc 0.774, time 491.0 sec
epoch 4, loss 0.4294, train acc 0.813, test acc 0.913, time 499.9 sec
epoch 5, loss 0.2995, train acc 0.903, test acc 0.831, time 495.3 sec
epoch 6, loss 0.2190, train acc 0.929, test acc 0.920, time 499.9 sec
epoch 7, loss 0.1922, train acc 0.935, test acc 0.930, time 499.1 sec
epoch 8, loss 0.1797, train acc 0.939, test acc 0.923, time 493.7 sec
epoch 9, loss 0.1710, train acc 0.942, test acc 0.908, time 489.7 sec
epoch 10, loss 0.1681, train acc 0.943, test acc 0.940, time 490.0 sec
epoch 11, loss 0.1630, train acc 0.945, test acc 0.940, time 496.6 sec
epoch 12, loss 0.1569, train acc 0.947, test acc 0.939, time 499.1 sec
epoch 13, loss 0.1531, train acc 0.948, test acc 0.941, time 499.0 sec
epoch 14, loss 0.1516, train acc 0.949, test acc 0.939, time 491.5 sec
epoch 15, loss 0.1486, train acc 0.950, test acc 0.943, time 500.0 sec
epoch 16, loss 0.1467, train acc 0.950, test acc 0.938, time 498.5 sec
epoch 17, loss 0.1438, train acc 0.951, test acc 0.944, time 499.8 sec
epoch 18, loss 0.1448, train acc 0.951, test acc 0.943, time 499.4 sec
epoch 19, loss 0.1410, train acc 0.952, test acc 0.944, time 498.1 sec
epoch 20, loss 0.1400, train acc 0.952, test acc 0.943, time 500.1 sec
epoch 21, loss 0.1385, train acc 0.952, test acc 0.944, time 500.3 sec
epoch 22, loss 0.1372, train acc 0.953, test acc 0.940, time 500.2 sec
epoch 23, loss 0.1363, train acc 0.953, test acc 0.945, time 500.9 sec
epoch 24, loss 0.1342, train acc 0.953, test acc 0.945, time 501.2 sec
epoch 25, loss 0.1339, train acc 0.953, test acc 0.943, time 495.3 sec
epoch 26, loss 0.1329, train acc 0.953, test acc 0.944, time 485.9 sec
epoch 27, loss 0.1328, train acc 0.952, test acc 0.949, time 486.1 sec
epoch 28, loss 0.1292, train acc 0.955, test acc 0.954, time 485.4 sec
epoch 29, loss 0.1273, train acc 0.957, test acc 0.948, time 485.4 sec
epoch 30, loss 0.1260, train acc 0.957, test acc 0.951, time 485.8 sec
epoch 31, loss 0.1240, train acc 0.958, test acc 0.954, time 486.0 sec
epoch 32, loss 0.1225, train acc 0.958, test acc 0.955, time 485.7 sec
epoch 33, loss 0.1213, train acc 0.958, test acc 0.952, time 485.4 sec
epoch 34, loss 0.1192, train acc 0.958, test acc 0.954, time 485.8 sec
epoch 35, loss 0.1175, train acc 0.958, test acc 0.955, time 485.7 sec
epoch 36, loss 0.1160, train acc 0.959, test acc 0.952, time 485.4 sec
epoch 37, loss 0.1138, train acc 0.958, test acc 0.955, time 485.6 sec
epoch 38, loss 0.1111, train acc 0.959, test acc 0.948, time 485.8 sec
epoch 39, loss 0.1092, train acc 0.959, test acc 0.955, time 486.3 sec
epoch 40, loss 0.1071, train acc 0.959, test acc 0.955, time 486.0 sec
epoch 41, loss 0.1048, train acc 0.959, test acc 0.954, time 485.9 sec
epoch 42, loss 0.1031, train acc 0.960, test acc 0.956, time 485.6 sec
epoch 43, loss 0.1009, train acc 0.960, test acc 0.898, time 486.7 sec
epoch 44, loss 0.0996, train acc 0.960, test acc 0.956, time 485.8 sec
epoch 45, loss 0.0972, train acc 0.961, test acc 0.956, time 485.8 sec
epoch 46, loss 0.0961, train acc 0.964, test acc 0.959, time 485.6 sec
epoch 47, loss 0.0946, train acc 0.966, test acc 0.960, time 511.4 sec
epoch 48, loss 0.0935, train acc 0.967, test acc 0.963, time 491.5 sec
epoch 49, loss 0.0924, train acc 0.968, test acc 0.960, time 492.6 sec
epoch 50, loss 0.0909, train acc 0.968, test acc 0.963, time 492.0 sec
epoch 51, loss 0.0898, train acc 0.969, test acc 0.963, time 491.1 sec
epoch 52, loss 0.0887, train acc 0.969, test acc 0.965, time 491.6 sec
epoch 53, loss 0.0873, train acc 0.970, test acc 0.964, time 491.8 sec
epoch 54, loss 0.0867, train acc 0.970, test acc 0.963, time 491.3 sec
epoch 55, loss 0.0862, train acc 0.970, test acc 0.965, time 490.2 sec
epoch 56, loss 0.0849, train acc 0.970, test acc 0.946, time 491.1 sec
epoch 57, loss 0.0840, train acc 0.971, test acc 0.966, time 491.8 sec
epoch 58, loss 0.0836, train acc 0.971, test acc 0.966, time 490.7 sec
epoch 59, loss 0.0845, train acc 0.971, test acc 0.966, time 491.8 sec
epoch 60, loss 0.0824, train acc 0.971, test acc 0.967, time 490.8 sec
epoch 61, loss 0.0814, train acc 0.972, test acc 0.964, time 492.2 sec
epoch 62, loss 0.0813, train acc 0.972, test acc 0.967, time 490.5 sec
epoch 63, loss 0.0805, train acc 0.972, test acc 0.965, time 492.1 sec
epoch 64, loss 0.0803, train acc 0.972, test acc 0.968, time 492.8 sec
epoch 65, loss 0.0797, train acc 0.972, test acc 0.968, time 491.5 sec
epoch 66, loss 0.0810, train acc 0.972, test acc 0.968, time 492.0 sec
epoch 67, loss 0.0783, train acc 0.973, test acc 0.960, time 492.0 sec
epoch 68, loss 0.0783, train acc 0.973, test acc 0.969, time 491.3 sec
epoch 69, loss 0.0776, train acc 0.973, test acc 0.969, time 491.8 sec
epoch 70, loss 0.0768, train acc 0.973, test acc 0.969, time 492.6 sec
epoch 71, loss 0.0767, train acc 0.974, test acc 0.969, time 492.0 sec
epoch 72, loss 0.0761, train acc 0.974, test acc 0.969, time 491.3 sec
epoch 73, loss 0.0756, train acc 0.974, test acc 0.970, time 491.8 sec
epoch 74, loss 0.0759, train acc 0.974, test acc 0.969, time 491.5 sec
epoch 75, loss 0.0754, train acc 0.974, test acc 0.970, time 491.9 sec
epoch 76, loss 0.0750, train acc 0.974, test acc 0.970, time 490.6 sec
epoch 77, loss 0.0742, train acc 0.974, test acc 0.970, time 492.0 sec
epoch 78, loss 0.0740, train acc 0.975, test acc 0.970, time 491.1 sec
epoch 79, loss 0.0732, train acc 0.975, test acc 0.970, time 491.8 sec
epoch 80, loss 0.0739, train acc 0.974, test acc 0.967, time 492.0 sec
epoch 81, loss 0.0724, train acc 0.975, test acc 0.971, time 491.2 sec
epoch 82, loss 0.0726, train acc 0.975, test acc 0.972, time 491.7 sec
epoch 83, loss 0.0717, train acc 0.975, test acc 0.964, time 492.0 sec
epoch 84, loss 0.0719, train acc 0.975, test acc 0.968, time 492.5 sec
epoch 85, loss 0.0715, train acc 0.975, test acc 0.969, time 492.4 sec
epoch 86, loss 0.0713, train acc 0.976, test acc 0.972, time 491.9 sec
epoch 87, loss 0.0704, train acc 0.976, test acc 0.967, time 492.1 sec
epoch 88, loss 0.0708, train acc 0.976, test acc 0.972, time 492.2 sec
epoch 89, loss 0.0702, train acc 0.976, test acc 0.973, time 492.7 sec
epoch 90, loss 0.0694, train acc 0.976, test acc 0.973, time 491.9 sec
epoch 91, loss 0.0700, train acc 0.976, test acc 0.971, time 493.2 sec
epoch 92, loss 0.0693, train acc 0.976, test acc 0.973, time 491.5 sec
epoch 93, loss 0.0687, train acc 0.977, test acc 0.957, time 491.9 sec
epoch 94, loss 0.0683, train acc 0.977, test acc 0.973, time 491.9 sec
epoch 95, loss 0.0762, train acc 0.974, test acc 0.973, time 493.0 sec
epoch 96, loss 0.0677, train acc 0.977, test acc 0.973, time 492.0 sec
epoch 97, loss 0.0672, train acc 0.977, test acc 0.973, time 492.9 sec
epoch 98, loss 0.0699, train acc 0.976, test acc 0.973, time 492.0 sec
epoch 99, loss 0.0666, train acc 0.978, test acc 0.972, time 492.7 sec
epoch 100, loss 0.0678, train acc 0.977, test acc 0.974, time 492.6 sec
epoch 101, loss 0.0661, train acc 0.978, test acc 0.950, time 492.9 sec
epoch 102, loss 0.0661, train acc 0.978, test acc 0.975, time 491.9 sec
epoch 103, loss 0.0656, train acc 0.978, test acc 0.956, time 492.3 sec
epoch 104, loss 0.0761, train acc 0.975, test acc 0.974, time 492.7 sec
epoch 105, loss 0.0673, train acc 0.977, test acc 0.974, time 492.6 sec
epoch 106, loss 0.0655, train acc 0.978, test acc 0.975, time 491.6 sec
epoch 107, loss 0.0651, train acc 0.978, test acc 0.976, time 492.0 sec
epoch 108, loss 0.0649, train acc 0.978, test acc 0.976, time 492.7 sec
epoch 109, loss 0.0639, train acc 0.979, test acc 0.975, time 491.9 sec
epoch 110, loss 0.0641, train acc 0.979, test acc 0.976, time 492.0 sec
epoch 111, loss 0.0652, train acc 0.978, test acc 0.975, time 492.1 sec
epoch 112, loss 0.0638, train acc 0.979, test acc 0.976, time 492.0 sec
epoch 113, loss 0.0643, train acc 0.979, test acc 0.976, time 491.3 sec
epoch 114, loss 0.0636, train acc 0.979, test acc 0.974, time 491.3 sec
epoch 115, loss 0.0630, train acc 0.979, test acc 0.976, time 492.1 sec
epoch 116, loss 0.0625, train acc 0.979, test acc 0.976, time 491.0 sec
epoch 117, loss 0.0641, train acc 0.979, test acc 0.962, time 492.5 sec
epoch 118, loss 0.0630, train acc 0.979, test acc 0.975, time 492.6 sec
epoch 119, loss 0.0629, train acc 0.979, test acc 0.977, time 492.2 sec
epoch 120, loss 0.0627, train acc 0.979, test acc 0.977, time 491.2 sec
epoch 121, loss 0.0621, train acc 0.979, test acc 0.913, time 492.5 sec
epoch 122, loss 0.0637, train acc 0.979, test acc 0.976, time 492.3 sec
epoch 123, loss 0.0625, train acc 0.979, test acc 0.977, time 492.1 sec
epoch 124, loss 0.0617, train acc 0.979, test acc 0.976, time 491.4 sec
epoch 125, loss 0.0610, train acc 0.980, test acc 0.974, time 492.1 sec
epoch 126, loss 0.0762, train acc 0.975, test acc 0.974, time 491.5 sec
epoch 127, loss 0.0627, train acc 0.979, test acc 0.972, time 492.2 sec
epoch 128, loss 0.0622, train acc 0.979, test acc 0.977, time 492.0 sec
epoch 129, loss 0.0605, train acc 0.980, test acc 0.977, time 491.6 sec
epoch 130, loss 0.0603, train acc 0.980, test acc 0.977, time 490.4 sec
epoch 131, loss 0.0631, train acc 0.978, test acc 0.977, time 492.8 sec
epoch 132, loss 0.0605, train acc 0.980, test acc 0.975, time 491.9 sec
epoch 133, loss 0.0601, train acc 0.980, test acc 0.972, time 490.9 sec
epoch 134, loss 0.0609, train acc 0.979, test acc 0.977, time 491.6 sec
epoch 135, loss 0.0608, train acc 0.980, test acc 0.977, time 492.9 sec
epoch 136, loss 0.0587, train acc 0.981, test acc 0.978, time 492.2 sec
epoch 137, loss 0.0617, train acc 0.979, test acc 0.977, time 492.0 sec
epoch 138, loss 0.0588, train acc 0.980, test acc 0.977, time 491.9 sec
epoch 139, loss 0.0602, train acc 0.980, test acc 0.977, time 491.9 sec
epoch 140, loss 0.0594, train acc 0.980, test acc 0.976, time 492.0 sec
epoch 141, loss 0.0587, train acc 0.980, test acc 0.978, time 491.8 sec
epoch 142, loss 0.0582, train acc 0.981, test acc 0.978, time 492.1 sec
epoch 143, loss 0.0590, train acc 0.980, test acc 0.978, time 491.5 sec
epoch 144, loss 0.0745, train acc 0.977, test acc 0.975, time 491.6 sec
epoch 145, loss 0.0615, train acc 0.979, test acc 0.977, time 491.8 sec
epoch 146, loss 0.0590, train acc 0.981, test acc 0.978, time 491.8 sec
epoch 147, loss 0.0581, train acc 0.981, test acc 0.978, time 491.7 sec
epoch 148, loss 0.0576, train acc 0.981, test acc 0.887, time 492.2 sec
epoch 149, loss 0.0583, train acc 0.981, test acc 0.977, time 491.9 sec
epoch 150, loss 0.0572, train acc 0.981, test acc 0.977, time 491.2 sec
epoch 151, loss 0.0575, train acc 0.981, test acc 0.979, time 492.8 sec
epoch 152, loss 0.0579, train acc 0.981, test acc 0.979, time 492.5 sec
epoch 153, loss 0.0577, train acc 0.981, test acc 0.978, time 490.8 sec
epoch 154, loss 0.0568, train acc 0.981, test acc 0.978, time 492.0 sec
epoch 155, loss 0.0616, train acc 0.980, test acc 0.978, time 491.7 sec
epoch 156, loss 0.0569, train acc 0.981, test acc 0.978, time 492.3 sec
epoch 157, loss 0.0560, train acc 0.982, test acc 0.976, time 490.1 sec
epoch 158, loss 0.0568, train acc 0.981, test acc 0.979, time 491.8 sec
epoch 159, loss 0.0599, train acc 0.980, test acc 0.978, time 491.2 sec
epoch 160, loss 0.0573, train acc 0.981, test acc 0.978, time 491.4 sec
epoch 161, loss 0.0561, train acc 0.981, test acc 0.979, time 491.5 sec
epoch 162, loss 0.0561, train acc 0.981, test acc 0.979, time 492.2 sec
epoch 163, loss 0.0565, train acc 0.981, test acc 0.979, time 490.6 sec
epoch 164, loss 0.0551, train acc 0.982, test acc 0.975, time 491.6 sec
epoch 165, loss 0.0580, train acc 0.981, test acc 0.979, time 491.7 sec
epoch 166, loss 0.0555, train acc 0.981, test acc 0.979, time 492.0 sec
epoch 167, loss 0.0552, train acc 0.981, test acc 0.978, time 491.9 sec
epoch 168, loss 0.0566, train acc 0.982, test acc 0.979, time 491.1 sec
epoch 169, loss 0.0546, train acc 0.982, test acc 0.980, time 491.7 sec
epoch 170, loss 0.0548, train acc 0.982, test acc 0.973, time 491.3 sec
epoch 171, loss 0.0544, train acc 0.982, test acc 0.978, time 491.3 sec
epoch 172, loss 0.0555, train acc 0.982, test acc 0.979, time 491.4 sec
epoch 173, loss 0.0554, train acc 0.981, test acc 0.979, time 490.7 sec
epoch 174, loss 0.0550, train acc 0.982, test acc 0.979, time 491.6 sec
epoch 175, loss 0.0541, train acc 0.982, test acc 0.980, time 489.3 sec
epoch 176, loss 0.1880, train acc 0.935, test acc 0.967, time 485.8 sec
epoch 177, loss 0.0766, train acc 0.976, test acc 0.974, time 485.4 sec
epoch 178, loss 0.0689, train acc 0.978, test acc 0.977, time 486.6 sec
epoch 179, loss 0.0658, train acc 0.979, test acc 0.978, time 486.9 sec
epoch 180, loss 0.0630, train acc 0.980, test acc 0.978, time 486.7 sec
epoch 181, loss 0.0629, train acc 0.980, test acc 0.977, time 486.9 sec
epoch 182, loss 0.0612, train acc 0.980, test acc 0.978, time 487.5 sec
epoch 183, loss 0.0615, train acc 0.980, test acc 0.977, time 487.6 sec
epoch 184, loss 0.0599, train acc 0.981, test acc 0.979, time 488.0 sec
epoch 185, loss 0.0600, train acc 0.980, test acc 0.979, time 488.4 sec
epoch 186, loss 0.0586, train acc 0.981, test acc 0.979, time 488.6 sec
epoch 187, loss 0.0582, train acc 0.981, test acc 0.979, time 488.7 sec
epoch 188, loss 0.0579, train acc 0.981, test acc 0.979, time 488.6 sec
epoch 189, loss 0.0572, train acc 0.982, test acc 0.978, time 488.6 sec
epoch 190, loss 0.0573, train acc 0.982, test acc 0.978, time 486.3 sec
epoch 191, loss 0.0570, train acc 0.981, test acc 0.980, time 481.7 sec
epoch 192, loss 0.0563, train acc 0.982, test acc 0.980, time 482.3 sec
epoch 193, loss 0.0569, train acc 0.982, test acc 0.980, time 481.8 sec
epoch 194, loss 0.0555, train acc 0.982, test acc 0.979, time 481.7 sec
epoch 195, loss 0.0568, train acc 0.982, test acc 0.980, time 482.7 sec
epoch 196, loss 0.0555, train acc 0.982, test acc 0.980, time 482.8 sec
epoch 197, loss 0.0556, train acc 0.982, test acc 0.978, time 482.8 sec
epoch 198, loss 0.0548, train acc 0.982, test acc 0.980, time 483.1 sec
epoch 199, loss 0.0552, train acc 0.982, test acc 0.978, time 483.4 sec
epoch 200, loss 0.0544, train acc 0.982, test acc 0.978, time 483.5 sec
epoch 201, loss 0.0541, train acc 0.983, test acc 0.980, time 483.3 sec
epoch 202, loss 0.0542, train acc 0.983, test acc 0.980, time 483.0 sec
epoch 203, loss 0.0538, train acc 0.983, test acc 0.978, time 483.0 sec
epoch 204, loss 0.0535, train acc 0.983, test acc 0.975, time 483.0 sec
epoch 205, loss 0.0530, train acc 0.983, test acc 0.981, time 483.4 sec
epoch 206, loss 0.0554, train acc 0.982, test acc 0.980, time 482.9 sec
epoch 207, loss 0.0534, train acc 0.983, test acc 0.981, time 483.2 sec
epoch 208, loss 0.0530, train acc 0.983, test acc 0.980, time 486.1 sec
epoch 209, loss 0.0520, train acc 0.983, test acc 0.981, time 482.3 sec
epoch 210, loss 0.0521, train acc 0.983, test acc 0.980, time 483.0 sec
epoch 211, loss 0.0526, train acc 0.983, test acc 0.981, time 483.4 sec
epoch 212, loss 0.0517, train acc 0.983, test acc 0.979, time 485.8 sec
epoch 213, loss 0.0516, train acc 0.983, test acc 0.981, time 482.4 sec
epoch 214, loss 0.0520, train acc 0.983, test acc 0.981, time 485.4 sec
epoch 215, loss 0.0512, train acc 0.983, test acc 0.981, time 485.0 sec
epoch 216, loss 0.0515, train acc 0.983, test acc 0.981, time 486.1 sec
epoch 217, loss 0.0517, train acc 0.983, test acc 0.978, time 483.3 sec
epoch 218, loss 0.0509, train acc 0.983, test acc 0.915, time 484.3 sec
epoch 219, loss 0.0533, train acc 0.982, test acc 0.981, time 485.0 sec
epoch 220, loss 0.0501, train acc 0.984, test acc 0.980, time 487.6 sec
epoch 221, loss 0.0513, train acc 0.983, test acc 0.981, time 484.7 sec
epoch 222, loss 0.0500, train acc 0.984, test acc 0.981, time 486.2 sec
epoch 223, loss 0.0500, train acc 0.984, test acc 0.981, time 486.1 sec
epoch 224, loss 0.0498, train acc 0.984, test acc 0.977, time 486.2 sec
epoch 225, loss 0.0510, train acc 0.983, test acc 0.982, time 485.7 sec
epoch 226, loss 0.0497, train acc 0.984, test acc 0.982, time 484.9 sec
epoch 227, loss 0.0508, train acc 0.983, test acc 0.981, time 488.0 sec
epoch 228, loss 0.0492, train acc 0.984, test acc 0.975, time 485.8 sec
epoch 229, loss 0.0513, train acc 0.983, test acc 0.981, time 484.7 sec
epoch 230, loss 0.0494, train acc 0.984, test acc 0.982, time 489.3 sec
epoch 231, loss 0.0489, train acc 0.984, test acc 0.981, time 486.8 sec
epoch 232, loss 0.0489, train acc 0.984, test acc 0.982, time 485.0 sec
epoch 233, loss 0.0500, train acc 0.984, test acc 0.982, time 485.2 sec
epoch 234, loss 0.0490, train acc 0.984, test acc 0.981, time 484.9 sec
epoch 235, loss 0.0487, train acc 0.984, test acc 0.982, time 484.9 sec
epoch 236, loss 0.0484, train acc 0.984, test acc 0.978, time 484.2 sec
epoch 237, loss 0.0481, train acc 0.984, test acc 0.981, time 484.5 sec
epoch 238, loss 0.0474, train acc 0.984, test acc 0.981, time 485.3 sec
epoch 239, loss 0.0530, train acc 0.982, test acc 0.981, time 484.5 sec
epoch 240, loss 0.0512, train acc 0.983, test acc 0.980, time 484.6 sec
epoch 241, loss 0.0506, train acc 0.984, test acc 0.980, time 485.0 sec
epoch 242, loss 0.0485, train acc 0.984, test acc 0.982, time 485.0 sec
epoch 243, loss 0.0582, train acc 0.980, test acc 0.981, time 485.3 sec
epoch 244, loss 0.0491, train acc 0.984, test acc 0.981, time 484.8 sec
epoch 245, loss 0.0488, train acc 0.984, test acc 0.980, time 485.0 sec
epoch 246, loss 0.0475, train acc 0.984, test acc 0.981, time 484.8 sec
epoch 247, loss 0.0477, train acc 0.984, test acc 0.982, time 485.0 sec
epoch 248, loss 0.0471, train acc 0.984, test acc 0.982, time 485.2 sec
epoch 249, loss 0.0476, train acc 0.984, test acc 0.981, time 485.0 sec
