training on [gpu(0)]
epoch 1, loss 0.3915, train acc 0.844, test acc 0.948, time 451.8 sec
epoch 2, loss 0.1932, train acc 0.937, test acc 0.784, time 441.8 sec
epoch 3, loss 0.1474, train acc 0.954, test acc 0.968, time 440.7 sec
epoch 4, loss 0.1118, train acc 0.966, test acc 0.970, time 440.6 sec
epoch 5, loss 0.0902, train acc 0.972, test acc 0.971, time 440.4 sec
epoch 6, loss 0.0700, train acc 0.977, test acc 0.976, time 441.1 sec
epoch 7, loss 0.0712, train acc 0.973, test acc 0.817, time 440.2 sec
epoch 8, loss 0.2731, train acc 0.895, test acc 0.824, time 440.7 sec
epoch 9, loss 0.1370, train acc 0.960, test acc 0.972, time 440.4 sec
epoch 10, loss 0.1775, train acc 0.941, test acc 0.973, time 440.3 sec
epoch 11, loss 0.0773, train acc 0.977, test acc 0.977, time 441.3 sec
epoch 12, loss 0.1221, train acc 0.959, test acc 0.976, time 442.3 sec
epoch 13, loss 0.0588, train acc 0.980, test acc 0.978, time 440.6 sec
epoch 14, loss 0.0940, train acc 0.968, test acc 0.978, time 440.4 sec
epoch 15, loss 0.0501, train acc 0.981, test acc 0.979, time 445.0 sec
epoch 16, loss 0.0457, train acc 0.982, test acc 0.979, time 440.4 sec
epoch 17, loss 0.0427, train acc 0.982, test acc 0.980, time 441.6 sec
epoch 18, loss 0.0407, train acc 0.984, test acc 0.989, time 443.2 sec
epoch 19, loss 0.0392, train acc 0.989, test acc 0.989, time 441.5 sec
epoch 20, loss 0.0373, train acc 0.989, test acc 0.990, time 440.4 sec
epoch 21, loss 0.0361, train acc 0.989, test acc 0.990, time 442.4 sec
epoch 22, loss 0.0370, train acc 0.989, test acc 0.990, time 441.4 sec
epoch 23, loss 0.0344, train acc 0.990, test acc 0.991, time 440.6 sec
epoch 24, loss 0.0341, train acc 0.990, test acc 0.991, time 443.2 sec
epoch 25, loss 0.0328, train acc 0.990, test acc 0.991, time 441.4 sec
epoch 26, loss 0.0325, train acc 0.990, test acc 0.987, time 440.2 sec
epoch 27, loss 0.0317, train acc 0.990, test acc 0.991, time 440.7 sec
epoch 28, loss 0.0312, train acc 0.991, test acc 0.990, time 444.4 sec
epoch 29, loss 0.0311, train acc 0.991, test acc 0.986, time 443.1 sec
epoch 30, loss 0.0303, train acc 0.991, test acc 0.991, time 440.5 sec
epoch 31, loss 0.2395, train acc 0.922, test acc 0.967, time 441.2 sec
epoch 32, loss 0.1018, train acc 0.969, test acc 0.975, time 441.3 sec
epoch 33, loss 0.0548, train acc 0.982, test acc 0.988, time 442.0 sec
epoch 34, loss 0.0375, train acc 0.989, test acc 0.990, time 442.0 sec
epoch 35, loss 0.0338, train acc 0.990, test acc 0.991, time 440.7 sec
epoch 36, loss 0.0326, train acc 0.990, test acc 0.991, time 441.1 sec
epoch 37, loss 0.0348, train acc 0.990, test acc 0.990, time 441.9 sec
epoch 38, loss 0.0318, train acc 0.991, test acc 0.991, time 444.3 sec
epoch 39, loss 0.0307, train acc 0.991, test acc 0.992, time 440.9 sec
epoch 40, loss 0.0299, train acc 0.991, test acc 0.991, time 445.7 sec
epoch 41, loss 0.0298, train acc 0.991, test acc 0.991, time 440.9 sec
epoch 42, loss 0.0296, train acc 0.991, test acc 0.991, time 441.4 sec
epoch 43, loss 0.0291, train acc 0.991, test acc 0.992, time 440.8 sec
epoch 44, loss 0.0292, train acc 0.991, test acc 0.991, time 440.5 sec
epoch 45, loss 0.0286, train acc 0.991, test acc 0.991, time 441.8 sec
epoch 46, loss 0.0285, train acc 0.991, test acc 0.992, time 440.6 sec
epoch 47, loss 0.0287, train acc 0.991, test acc 0.991, time 440.9 sec
epoch 48, loss 0.0284, train acc 0.991, test acc 0.992, time 441.9 sec
epoch 49, loss 0.0279, train acc 0.992, test acc 0.991, time 441.5 sec
epoch 50, loss 0.0278, train acc 0.992, test acc 0.992, time 442.9 sec
epoch 51, loss 0.0281, train acc 0.992, test acc 0.992, time 440.5 sec
epoch 52, loss 0.0276, train acc 0.992, test acc 0.991, time 440.7 sec
epoch 53, loss 0.0278, train acc 0.992, test acc 0.992, time 440.6 sec
epoch 54, loss 0.0280, train acc 0.991, test acc 0.992, time 440.8 sec
epoch 55, loss 0.0271, train acc 0.992, test acc 0.992, time 440.5 sec
epoch 56, loss 0.0272, train acc 0.992, test acc 0.992, time 441.0 sec
epoch 57, loss 0.6925, train acc 0.893, test acc 0.817, time 441.7 sec
epoch 58, loss 0.3567, train acc 0.849, test acc 0.929, time 442.0 sec
epoch 59, loss 0.1900, train acc 0.937, test acc 0.969, time 440.4 sec
epoch 60, loss 0.1177, train acc 0.957, test acc 0.972, time 440.1 sec
epoch 61, loss 0.1478, train acc 0.950, test acc 0.958, time 440.9 sec
epoch 62, loss 0.1047, train acc 0.966, test acc 0.910, time 441.0 sec
epoch 63, loss 0.0963, train acc 0.972, test acc 0.970, time 440.5 sec
epoch 64, loss 0.2271, train acc 0.911, test acc 0.961, time 440.1 sec
epoch 65, loss 0.3200, train acc 0.879, test acc 0.918, time 440.5 sec
epoch 66, loss 0.1093, train acc 0.965, test acc 0.973, time 440.9 sec
epoch 67, loss 0.1614, train acc 0.946, test acc 0.817, time 442.9 sec
epoch 68, loss 0.3112, train acc 0.876, test acc 0.961, time 444.0 sec
epoch 69, loss 0.1621, train acc 0.948, test acc 0.711, time 439.7 sec
epoch 70, loss 0.1455, train acc 0.954, test acc 0.954, time 440.9 sec
epoch 71, loss 0.1085, train acc 0.970, test acc 0.974, time 439.6 sec
epoch 72, loss 0.0761, train acc 0.979, test acc 0.985, time 443.8 sec
epoch 73, loss 0.0805, train acc 0.977, test acc 0.976, time 440.3 sec
epoch 74, loss 0.0764, train acc 0.978, test acc 0.977, time 444.8 sec
epoch 75, loss 0.0744, train acc 0.977, test acc 0.977, time 441.1 sec
epoch 76, loss 0.0653, train acc 0.979, test acc 0.977, time 442.2 sec
epoch 77, loss 0.0608, train acc 0.980, test acc 0.976, time 440.6 sec
epoch 78, loss 0.0586, train acc 0.980, test acc 0.977, time 440.3 sec
epoch 79, loss 0.0601, train acc 0.979, test acc 0.978, time 440.4 sec
epoch 80, loss 0.0495, train acc 0.982, test acc 0.987, time 440.6 sec
epoch 81, loss 0.0450, train acc 0.987, test acc 0.988, time 441.1 sec
epoch 82, loss 0.0418, train acc 0.987, test acc 0.987, time 440.5 sec
epoch 83, loss 0.0409, train acc 0.988, test acc 0.988, time 444.4 sec
epoch 84, loss 0.0436, train acc 0.986, test acc 0.988, time 440.8 sec
epoch 85, loss 0.0391, train acc 0.988, test acc 0.989, time 443.1 sec
epoch 86, loss 0.0386, train acc 0.988, test acc 0.989, time 440.7 sec
epoch 87, loss 0.0377, train acc 0.989, test acc 0.988, time 440.7 sec
epoch 88, loss 0.0378, train acc 0.988, test acc 0.989, time 440.5 sec
epoch 89, loss 0.0373, train acc 0.989, test acc 0.989, time 440.6 sec
